Gene name	GO term accession
Gm21742	
Gm21748	GO:0003674
Gm21748	GO:0008150
Gm21748	GO:0005575
Gm28274	
Gm28275	
Gm21302	
Gm28290	
Gm28292	
Gm28291	
Gm28293	
Gm21740	
Gm21912	
Gm28698	
Gm29304	
Gm29305	
Gm29303	
Gm21894	
Gm29307	
Gm29557	
Gm54348	
Gm20927	
Gm20930	
Gm29306	
Gm29300	
Gm29301	
Gm29558	
Gm29555	
Gm21733	
Gm21330	
Gm28355	
Gm28354	
Gm28353	
Gm28352	
Gm28200	
Gm28201	
Gm28202	
Gm28203	
Gm21340	
Gm28204	
Gm28205	
Gm28206	
Gm28207	
Gm28208	
Gm21851	
Gm21819	
Gm29224	
Gm29223	
Gm29222	
Gm29221	
Gm29220	
Gm21815	
Gm29132	
Gm21450	
Gm21843	
Gm28889	
Gm28691	
Gm28692	
Gm20794	
Gm28690	
Gm28689	
Gm28687	
Gm20987	
Gm21918	
Gm29207	
Gm29204	
Gm21489	
Gm21832	
Gm21573	
Gm28179	
Gm21577	
Gm29206	
Gm29614	
Gm29613	
Gm29612	
Gm29343	
Gm29342	
Gm20804	
Gm28598	
Gm28599	
Gm28185	
Gm29037	
Gm20823	GO:0007276
Gm20823	GO:0005654
Gm20823	GO:0035064
Gm20823	GO:0006355
Gm20823	GO:0005829
Gm21877	
Gm29548	
Gm29547	
Gm29546	
Gm29545	
Gm29544	
Gm29209	
Gm29549	
Gm21530	
Gm21617	
Gm28589	
Gm29420	
Gm29421	
Gm21627	GO:0007286
Gm21627	GO:0051321
Gm21627	GO:0000795
Gm29422	
Gm28808	
Gm21634	
Gm28446	
Gm29060	
Gm29061	
Gm20885	
Gm29062	
Gm29057	
Gm29625	
Gm21654	
Gm29058	
Gm29059	
Gm29628	
Gm20882	
Gm20907	
Gm29623	
Gm29622	
Gm29265	
Gm20908	GO:0005634
Gm20908	GO:0005515
Gm20908	GO:0010468
Gm20908	GO:0005737
Gm20908	GO:0007338
Gm20908	GO:0007530
Gm20908	GO:0048515
Gm29259	
Gm28860	
Gm28252	
Gm28859	
Gm20921	
Gm21826	
Gm28254	
Gm28861	
Gm28255	
Gm21171	
Gm20924	GO:0007276
Gm20924	GO:0005654
Gm20924	GO:0035064
Gm20924	GO:0006355
Gm20924	GO:0005829
Gm28990	
Gm21848	
Gm29457	
Gm20736	GO:0007286
Gm20736	GO:0051321
Gm20736	GO:0000795
Gm28558	
Gm28560	
Gm28561	
Gm29584	
Gm20936	
Gm20934	
Gm21895	
Gm28134	
Gm28135	
Gm20933	
Gm28133	
Gm28137	
Gm28138	
Gm21837	
Gm21910	
Gm21889	
Gm29378	
Gm29379	
Gm29380	
Gm29381	
Gm28795	
Gm20852	GO:0007276
Gm20852	GO:0005654
Gm20852	GO:0035064
Gm20852	GO:0006355
Gm20852	GO:0005829
Gm29003	
Gm29001	
Gm29002	
Ssty2	GO:0007276
Ssty2	GO:0005654
Ssty2	GO:0035064
Ssty2	GO:0006355
Ssty2	GO:0005829
Gm28646	
Gm28612	
Gm28613	
Gm28611	
Gm21114	
Gm21794	
Gm29219	
Gm29632	
Gm29631	
Gm29637	
Gm20874	
Gm29082	
Gm29217	
Gm29636	
Gm29635	
Gm29634	
Gm29639	
Gm21806	
Gm20935	
Gm29662	
Gm29660	
Gm29661	
Gm29659	
Gm20937	GO:0007286
Gm20937	GO:0051321
Gm20937	GO:0000795
Gm29450	
Gm29449	
Gm31335	
Gm37690	
Gm32114	
Gm37075	
Gm37921	
Gm32180	
Gm38371	
Gm37657	
Gm37448	
Gm33163	
Gm21065	
Gm36978	
Gm37721	
Gm37129	
Gm37990	
Gm21366	GO:0005634
Gm21366	GO:0005515
Gm21366	GO:0010468
Gm21366	GO:0005737
Gm21366	GO:0007338
Gm21366	GO:0007530
Gm21366	GO:0048515
Gm33954	
Gm37538	
Gm21871	
Gm34274	
Gm34217	
Gm21469	
Gm21661	
Gm37952	
Gm21907	
Gm37627	
Gm20925	
Gm20926	
Gm37454	
Gm38138	
Gm29740	
Gm37840	
Gm37574	
Gm21768	
Gm37172	
Gm35670	
Gm20840	
Gm35955	
Gm37687	
Gm38296	
Gm38290	
Gm38121	
Gm36047	
Gm36345	
Gm37157	
Gm38017	
Gm36468	
Gm21845	
Gm20809	GO:0007276
Gm20809	GO:0005654
Gm20809	GO:0035064
Gm20809	GO:0006355
Gm20809	GO:0005829
Gm37434	
Gm37765	
Gm38229	
Gm36866	
Gm30045	
Gm21921	
Gm37112	
Gm37287	
Gm30175	
Gm21350	
Gm21412	
Gm37071	
Gm37547	
Gm36968	
Gm38035	
Gm20857	
Gm30705	
Gm21773	
Gm37451	
Gm37793	
Gm30858	
Gm21791	
Gm21427	
Gm37875	
Gm37237	
Gm38350	
Gm20858	
Gm31422	
Gm37798	
Gm37318	
Gm31572	
Gm21890	
Gm21443	
Gm37346	
Gm38136	
Gm37991	
Gm37808	
Gm33571	
Gm32181	
Gm28662	
Gm28780	
Gm21755	
Gm20895	
Gm28853	
Gm28852	
Gm28855	
Gm28246	
Gm28247	
Gm28248	
Gm20892	
Gm28249	
Gm28250	
Gm28251	
Gm28243	
Gm28244	
Gm21771	
Gm21476	
Gm29021	
Gm28880	
Gm28452	
Gm28454	
Gm28878	
Gm28879	
Gm29369	
Gm21506	
Gm29399	
Gm29400	
Gm29401	
Gm20891	
Gm20893	
Gm28799	
Gm28938	
Gm28937	
Gm28936	
Gm21642	
Gm21804	
Gm29122	
Gm28939	
Gm28983	
Gm28985	
Gm20810	
Gm20811	
Gm28725	
Gm28984	
Gm28987	
Gm28986	
Gm29171	
Gm28129	
Gm28127	
Gm28128	
Gm21853	
Gm28132	
Gm28130	
Gm28131	
Gm29317	
Gm29316	
Gm29315	
Gm28216	
Gm28217	
Gm28093	
Gm28092	
Gm28091	
Gm28090	
Gm29580	
Gm28089	
Gm28088	
Gm21529	
Gm29581	
Gm21539	
Gm29578	
Gm21908	
Gm21780	
Gm28486	
Gm21737	
Gm28487	
