Gene name	GO term accession
RNU6-821P	GO:0030621
RNU6-821P	GO:0000244
RNU6-821P	GO:0000353
RNU6-821P	GO:0005688
RNU6-821P	GO:0046540
KIR2DL1	GO:0005886
KIR2DL1	GO:0005515
KIR2DL1	GO:0006955
KIR2DL1	GO:0038023
KIR2DL1	GO:0002769
ANKRD18DP	
DNAH10	GO:0005524
DNAH10	GO:0030286
DNAH10	GO:0007018
DNAH10	GO:0008569
DNAH10	GO:0005737
DNAH10	GO:0000166
DNAH10	GO:0005929
DNAH10	GO:0042995
DNAH10	GO:0005856
DNAH10	GO:0005874
DNAH10	GO:0045505
DNAH10	GO:0051959
DNAH10	GO:0005930
DNAH10	GO:0016020
DNAH10	
SUDS3P1	
PROP1	GO:0003677
PROP1	GO:0006355
PROP1	GO:0000981
PROP1	GO:0021983
PROP1	GO:0005634
PROP1	GO:0006357
DLGAP2	
KRTAP9-6	GO:0045095
KRTAP9-6	GO:0005829
KRTAP9-6	GO:0005882
KRTAP9-7	GO:0045095
KRTAP9-7	GO:0005829
KRTAP9-7	GO:0005882
KRTAP9-12P	
ERICH1	
KRTAP9-11P	
RPS17	GO:0003735
RPS17	GO:0006412
RPS17	GO:0005840
RPS17	GO:0003723
RPS17	GO:0016020
RPS17	GO:0006413
RPS17	GO:1990904
RPS17	GO:0005925
RPS17	GO:0022627
RPS17	GO:0006364
RPS17	GO:0005654
RPS17	GO:0005829
RPS17	GO:0005737
RPS17	GO:0002181
RPS17	GO:0022626
RPS17	GO:0034101
RPS17	GO:0042274
RPS17	
KRTAP9-9	GO:0005829
KRTAP9-9	GO:0005882
KIR2DL5B	GO:0005886
CTDP1-DT	
FTCD	
FTCD	GO:0003824
FTCD	GO:0044237
FTCD	GO:0016740
FTCD	GO:0005542
FTCD	GO:0005737
FTCD	GO:0005794
FTCD	GO:0005814
FTCD	GO:0016829
FTCD	GO:0005856
FTCD	GO:0008152
FTCD	GO:0030409
FTCD	GO:0030412
FTCD	GO:0006547
FTCD	GO:0019556
FTCD	GO:0019557
CTDP1	GO:0005634
CTDP1	GO:0004721
CTDP1	GO:0008420
CTDP1	GO:0070940
CTDP1	GO:0016787
CTDP1	GO:0004722
CTDP1	GO:0017018
CTDP1	GO:0005654
CTDP1	
DLG5-AS1	
CCDC92	
CCDC92	GO:0005737
CCDC92	GO:0043231
CCDC92	GO:0005654
CCDC92	GO:0005814
CCDC92	GO:0005856
CCDC92	GO:0005813
CCDC92	GO:0005515
CCDC92	GO:0002376
CCDC92	GO:0045087
CCDC92	GO:0042802
CCDC92	GO:0050688
RN7SL284P	
RNU6-1266P	GO:0030621
RNU6-1266P	GO:0000244
RNU6-1266P	GO:0000353
RNU6-1266P	GO:0005688
RNU6-1266P	GO:0046540
DNM1P38	
CRIM1	GO:0005576
CRIM1	GO:0005520
CRIM1	GO:0001558
RPL21P36	
CRIM1-DT	
CPEB1	
CPEB1	GO:0003723
CPEB1	GO:0003676
CPEB1	GO:0045182
CPEB1	GO:0003730
CPEB1	GO:0006417
CPEB1	GO:0006412
CPEB1	GO:0005634
CPEB1	GO:0006397
CPEB1	GO:0005737
CPEB1	GO:0016020
CPEB1	GO:0046872
CPEB1	GO:0005654
CPEB1	GO:0005829
CPEB1	GO:0042995
CPEB1	GO:1990904
CPEB1	GO:0030425
CPEB1	GO:0045202
CPEB1	GO:0000932
CPEB1	GO:0035925
CPEB1	GO:0014069
CPEB1	GO:0005515
CPEB1	GO:0000900
CPEB1	GO:0008135
CPEB1	GO:0043022
CPEB1	GO:2000766
CPEB1	GO:0043005
CPEB1	GO:1990124
CPEB1	GO:0071230
CPEB1	GO:0032869
CPEB1	GO:0071456
CPEB1	GO:1900365
RNU6-222P	GO:0030621
RNU6-222P	GO:0000244
RNU6-222P	GO:0000353
RNU6-222P	GO:0005688
RNU6-222P	GO:0046540
FTCD-AS1	
LSS	GO:0016866
LSS	GO:0016104
LSS	GO:0005811
LSS	
GARRE1	
PRB1	
SKA1	GO:0008017
SKA1	GO:0007059
SKA1	GO:0051301
SKA1	GO:0005737
SKA1	GO:0007049
SKA1	GO:0045171
SKA1	GO:0005856
SKA1	GO:0005694
SKA1	GO:0015630
SKA1	GO:0005874
SKA1	GO:0005515
SKA1	GO:0034451
SKA1	GO:0000775
SKA1	GO:0000776
SKA1	GO:0005819
SKA1	GO:0005829
SKA1	GO:0072686
SKA1	GO:0000278
SKA1	GO:0031110
SKA1	GO:0005876
SKA1	GO:0000940
DSEL-AS1	
DSEL	GO:0008146
DSEL	GO:0016020
DSEL	GO:0016853
DSEL	GO:0047757
DSEL	GO:0030204
DSEL	GO:0030205
DSEL	GO:0000139
DSEL	GO:0030208
LSM14A	GO:0003723
LSM14A	GO:0005737
LSM14A	GO:0005829
LSM14A	GO:1990904
LSM14A	GO:0005856
LSM14A	GO:0006417
LSM14A	GO:0017148
LSM14A	GO:0036464
LSM14A	GO:0000932
LSM14A	GO:0005819
LSM14A	GO:0010494
LSM14A	GO:0072686
LSM14A	GO:0005515
LSM14A	GO:0003729
LSM14A	GO:1990124
LSM14A	GO:0033962
LSM14A	GO:0090307
LSM14A	GO:0034063
LSM14A	
GOLGA8DP	
CYFIP1	
CYFIP1	GO:0031267
CYFIP1	GO:0030833
CYFIP1	GO:0043005
CYFIP1	GO:0045202
SEPTIN9-DT	
SEPTIN9	
ABCB10P1	
TUBGCP5	
MAPK4	
ZNF965P	
RNA5SP458	
GXYLT1P1	
